site_id,bit_index,result
31,7,SDC
31,8,SDC
31,9,SDC
31,10,SDC
31,11,SDC
31,12,SDC
31,13,SDC
31,14,SDC
31,15,SDC
31,16,SDC
31,17,SDC
31,18,SDC
31,19,MASKED
31,20,MASKED
31,21,MASKED
31,22,MASKED
31,23,MASKED
31,24,MASKED
31,25,MASKED
31,26,MASKED
31,27,MASKED
31,28,MASKED
31,29,MASKED
31,30,MASKED
31,31,MASKED
32,0,SDC
32,1,SDC
32,2,SDC
32,3,SDC
32,4,SDC
32,5,SDC
32,6,SDC
32,7,SDC
32,8,SDC
32,9,SDC
32,10,SDC
32,11,SDC
32,12,SDC
32,13,SDC
32,14,SDC
32,15,SDC
32,16,SDC
32,17,SDC
32,18,SDC
32,19,SDC
32,20,SDC
32,21,SDC
32,22,SDC
32,23,SDC
32,24,SDC
32,25,SDC
32,26,SDC
32,27,SDC
32,28,SDC
32,29,SDC
32,30,SDC
32,31,SDC
33,0,SDC
33,1,SDC
33,2,SDC
33,3,SDC
33,4,SDC
33,5,SDC
33,6,SDC
33,7,SDC
33,8,SDC
33,9,SDC
33,10,SDC
33,11,SDC
33,12,SDC
33,13,SDC
33,14,SDC
33,15,SDC
33,16,SDC
33,17,SDC
33,18,SDC
33,19,SDC
33,20,SDC
33,21,SDC
33,22,SDC
33,23,SDC
33,24,SDC
33,25,SDC
33,26,SDC
33,27,SDC
33,28,SDC
33,29,SDC
33,30,SDC
33,31,SDC
34,0,SDC
34,1,SDC
34,2,SDC
34,3,SDC
34,4,SDC
34,5,SDC
34,6,SDC
34,7,SDC
34,8,SDC
34,9,SDC
34,10,SDC
34,11,SDC
34,12,SDC
34,13,SDC
34,14,SDC
34,15,SDC
34,16,SDC
34,17,SDC
34,18,SDC
34,19,SDC
34,20,SDC
34,21,SDC
34,22,SDC
34,23,SDC
34,24,SDC
34,25,SDC
34,26,SDC
34,27,SDC
34,28,SDC
34,29,SDC
34,30,SDC
34,31,SDC
35,0,SDC
35,1,SDC
35,2,SDC
35,3,SDC
35,4,SDC
35,5,SDC
35,6,SDC
35,7,SDC
35,8,SDC
35,9,SDC
35,10,SDC
35,11,SDC
35,12,SDC
35,13,SDC
35,14,SDC
35,15,SDC
35,16,SDC
35,17,SDC
35,18,SDC
35,19,SDC
35,20,SDC
35,21,SDC
35,22,SDC
35,23,SDC
35,24,SDC
35,25,SDC
35,26,SDC
35,27,SDC
35,28,SDC
35,29,SDC
35,30,SDC
35,31,SDC
36,0,SDC
36,1,SDC
36,2,SDC
36,3,SDC
36,4,SDC
36,5,SDC
36,6,SDC
36,7,SDC
36,8,SDC
36,9,SDC
36,10,SDC
36,11,SDC
36,12,SDC
36,13,SDC
36,14,SDC
36,15,SDC
36,16,SDC
36,17,SDC
36,18,SDC
36,19,SDC
36,20,SDC
36,21,SDC
36,22,SDC
36,23,SDC
36,24,SDC
36,25,SDC
36,26,SDC
36,27,SDC
36,28,SDC
36,29,SDC
36,30,SDC
36,31,SDC
37,0,SDC
37,1,SDC
37,2,SDC
37,3,SDC
37,4,SDC
37,5,SDC
37,6,SDC
37,7,SDC
37,8,SDC
37,9,SDC
37,10,SDC
37,11,SDC
37,12,SDC
37,13,SDC
37,14,SDC
37,15,SDC
37,16,SDC
37,17,SDC
37,18,SDC
37,19,SDC
37,20,SDC
37,21,SDC
37,22,SDC
37,23,SDC
37,24,SDC
37,25,SDC
37,26,SDC
37,27,SDC
37,28,SDC
37,29,SDC
37,30,SDC
37,31,SDC
38,0,SDC
38,1,SDC
38,2,SDC
38,3,SDC
38,4,SDC
38,5,SDC
38,6,SDC
38,7,SDC
38,8,SDC
38,9,SDC
38,10,SDC
38,11,SDC
38,12,SDC
38,13,SDC
38,14,SDC
38,15,SDC
38,16,SDC
38,17,SDC
38,18,SDC
38,19,MASKED
38,20,MASKED
38,21,MASKED
38,22,MASKED
38,23,MASKED
38,24,MASKED
38,25,MASKED
38,26,MASKED
38,27,MASKED
38,28,MASKED
38,29,MASKED
38,30,MASKED
38,31,MASKED
38,32,MASKED
38,33,MASKED
38,34,MASKED
38,35,MASKED
38,36,MASKED
38,37,MASKED
38,38,MASKED
38,39,MASKED
38,40,MASKED
38,41,MASKED
38,42,MASKED
38,43,MASKED
38,44,MASKED
38,45,MASKED
38,46,MASKED
38,47,MASKED
38,48,MASKED
38,49,MASKED
38,50,MASKED
38,51,MASKED
38,52,MASKED
38,53,MASKED
38,54,MASKED
38,55,MASKED
38,56,MASKED
38,57,MASKED
38,58,MASKED
38,59,MASKED
38,60,MASKED
38,61,MASKED
38,62,MASKED
38,63,MASKED
39,0,SDC
39,1,SDC
39,2,SDC
39,3,SDC
39,4,SDC
39,5,SDC
39,6,SDC
39,7,SDC
39,8,SDC
39,9,SDC
39,10,SDC
39,11,SDC
39,12,SDC
39,13,SDC
39,14,SDC
39,15,SDC
39,16,SDC
39,17,SDC
39,18,SDC
39,19,SDC
39,20,SDC
39,21,SDC
39,22,SDC
39,23,SDC
39,24,SDC
39,25,SDC
39,26,SDC
39,27,SDC
39,28,SDC
39,29,SDC
39,30,SDC
39,31,SDC
40,0,SDC
40,1,SDC
40,2,SDC
40,3,SDC
40,4,SDC
40,5,SDC
40,6,SDC
40,7,SDC
40,8,SDC
40,9,SDC
40,10,SDC
40,11,SDC
40,12,SDC
40,13,SDC
40,14,SDC
40,15,SDC
40,16,SDC
40,17,SDC
40,18,SDC
40,19,SDC
40,20,SDC
40,21,SDC
40,22,SDC
40,23,SDC
40,24,SDC
40,25,SDC
40,26,SDC
40,27,SDC
40,28,SDC
40,29,SDC
40,30,SDC
40,31,SDC
41,0,SDC
41,1,SDC
41,2,SDC
41,3,SDC
41,4,SDC
41,5,SDC
41,6,SDC
41,7,SDC
41,8,SDC
41,9,SDC
41,10,SDC
41,11,SDC
41,12,SDC
41,13,SDC
41,14,SDC
41,15,SDC
41,16,SDC
41,17,SDC
41,18,SDC
41,19,SDC
41,20,SDC
41,21,SDC
41,22,SDC
41,23,SDC
41,24,SDC
41,25,SDC
41,26,SDC
41,27,SDC
41,28,SDC
41,29,SDC
41,30,SDC
41,31,SDC
42,0,SDC
42,1,SDC
42,2,SDC
42,3,SDC
42,4,SDC
42,5,SDC
42,6,SDC
42,7,SDC
42,8,SDC
42,9,SDC
42,10,SDC
42,11,SDC
42,12,SDC
42,13,SDC
42,14,SDC
42,15,SDC
42,16,SDC
42,17,SDC
42,18,SDC
42,19,SDC
42,20,SDC
42,21,SDC
42,22,SDC
42,23,SDC
42,24,SDC
42,25,SDC
42,26,SDC
42,27,SDC
42,28,SDC
42,29,SDC
42,30,SDC
42,31,SDC
43,0,SDC
43,1,SDC
43,2,SDC
43,3,SDC
43,4,SDC
43,5,SDC
43,6,SDC
43,7,SDC
43,8,SDC
43,9,SDC
43,10,SDC
43,11,SDC
43,12,SDC
43,13,SDC
43,14,SDC
43,15,SDC
43,16,SDC
43,17,SDC
43,18,SDC
43,19,SDC
43,20,SDC
43,21,SDC
43,22,SDC
43,23,SDC
43,24,SDC
43,25,SDC
43,26,SDC
43,27,SDC
43,28,SDC
43,29,SDC
43,30,SDC
43,31,SDC
44,0,SDC
44,1,SDC
44,2,SDC
44,3,SDC
44,4,SDC
44,5,SDC
44,6,SDC
44,7,SDC
44,8,SDC
44,9,SDC
44,10,SDC
44,11,SDC
44,12,SDC
44,13,SDC
44,14,SDC
44,15,SDC
44,16,SDC
44,17,SDC
44,18,SDC
44,19,MASKED
44,20,MASKED
44,21,MASKED
44,22,MASKED
44,23,MASKED
44,24,MASKED
44,25,MASKED
44,26,MASKED
44,27,MASKED
44,28,MASKED
44,29,MASKED
44,30,MASKED
44,31,MASKED
45,0,SDC
45,1,SDC
45,2,SDC
45,3,SDC
45,4,SDC
45,5,SDC
45,6,SDC
45,7,SDC
45,8,SDC
45,9,SDC
45,10,SDC
45,11,SDC
45,12,SDC
45,13,SDC
45,14,SDC
45,15,SDC
45,16,SDC
45,17,SDC
45,18,SDC
45,19,SDC
45,20,SDC
45,21,SDC
45,22,SDC
45,23,SDC
45,24,SDC
45,25,SDC
45,26,SDC
45,27,SDC
45,28,SDC
45,29,SDC
45,30,SDC
45,31,SDC
45,32,SDC
45,33,SDC
45,34,SDC
45,35,SDC
45,36,SDC
45,37,SDC
45,38,SDC
45,39,SDC
45,40,SDC
45,41,SDC
45,42,SDC
45,43,SDC
45,44,SDC
45,45,SDC
45,46,SDC
45,47,SDC
45,48,SDC
45,49,SDC
45,50,SDC
45,51,SDC
45,52,SDC
45,53,SDC
45,54,SDC
45,55,SDC
45,56,SDC
45,57,SDC
45,58,SDC
45,59,SDC
45,60,SDC
45,61,SDC
45,62,SDC
45,63,SDC
46,0,SDC
46,1,SDC
46,2,SDC
46,3,SDC
46,4,SDC
46,5,SDC
46,6,SDC
46,7,SDC
46,8,SDC
46,9,SDC
46,10,SDC
46,11,SDC
46,12,SDC
46,13,SDC
46,14,SDC
46,15,SDC
46,16,SDC
46,17,SDC
46,18,SDC
46,19,SDC
46,20,SDC
46,21,SDC
46,22,SDC
46,23,SDC
46,24,SDC
46,25,SDC
46,26,SDC
46,27,SDC
46,28,SDC
46,29,SDC
46,30,SDC
46,31,SDC
47,0,SDC
47,1,SDC
47,2,SDC
47,3,SDC
47,4,SDC
47,5,SDC
47,6,SDC
47,7,SDC
47,8,SDC
47,9,SDC
47,10,SDC
47,11,SDC
47,12,SDC
47,13,SDC
47,14,SDC
47,15,SDC
47,16,SDC
47,17,SDC
47,18,SDC
47,19,SDC
47,20,SDC
47,21,SDC
47,22,SDC
47,23,SDC
47,24,SDC
47,25,SDC
47,26,SDC
47,27,SDC
47,28,SDC
47,29,SDC
47,30,SDC
47,31,SDC
48,0,SDC
48,1,SDC
48,2,SDC
48,3,SDC
48,4,SDC
48,5,SDC
48,6,SDC
48,7,SDC
48,8,SDC
48,9,SDC
48,10,SDC
48,11,SDC
48,12,SDC
48,13,SDC
48,14,SDC
48,15,SDC
48,16,SDC
48,17,SDC
48,18,SDC
48,19,SDC
48,20,SDC
48,21,SDC
48,22,SDC
48,23,SDC
48,24,SDC
48,25,SDC
48,26,SDC
48,27,SDC
48,28,SDC
48,29,SDC
48,30,SDC
48,31,SDC
49,0,SDC
49,1,SDC
49,2,SDC
49,3,SDC
49,4,SDC
49,5,SDC
49,6,SDC
49,7,SDC
49,8,SDC
49,9,SDC
49,10,SDC
49,11,SDC
49,12,SDC
49,13,SDC
49,14,SDC
49,15,SDC
49,16,SDC
49,17,SDC
49,18,SDC
49,19,SDC
49,20,SDC
49,21,SDC
49,22,SDC
49,23,SDC
49,24,SDC
49,25,SDC
49,26,SDC
49,27,SDC
49,28,SDC
49,29,SDC
49,30,SDC
49,31,SDC
50,0,SDC
50,1,SDC
50,2,SDC
50,3,SDC
50,4,SDC
50,5,SDC
50,6,SDC
50,7,SDC
50,8,SDC
50,9,SDC
50,10,SDC
50,11,SDC
50,12,SDC
50,13,SDC
50,14,SDC
50,15,SDC
50,16,SDC
