backend,phase,t,iteration,bx,tx,expected_small_block_cols_64,actual_small_block_cols_32,expected_blkX_64,actual_blkX_32,expected_blkXmax_64,actual_blkXmax_32,expected_xidx_64,actual_xidx_32,validXmin,validXmax,isValid,computed,final_write_executed,final_write_index,final_write_value
nvidia,injected,0,999,10,8,-1748,2147481900,-18480,-18480,-18231,-18231,-18472,-18472,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,9,-1748,2147481900,-18480,-18480,-18231,-18231,-18471,-18471,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,10,-1748,2147481900,-18480,-18480,-18231,-18231,-18470,-18470,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,11,-1748,2147481900,-18480,-18480,-18231,-18231,-18469,-18469,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,12,-1748,2147481900,-18480,-18480,-18231,-18231,-18468,-18468,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,13,-1748,2147481900,-18480,-18480,-18231,-18231,-18467,-18467,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,14,-1748,2147481900,-18480,-18480,-18231,-18231,-18466,-18466,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,15,-1748,2147481900,-18480,-18480,-18231,-18231,-18465,-18465,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,16,-1748,2147481900,-18480,-18480,-18231,-18231,-18464,-18464,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,17,-1748,2147481900,-18480,-18480,-18231,-18231,-18463,-18463,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,18,-1748,2147481900,-18480,-18480,-18231,-18231,-18462,-18462,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,19,-1748,2147481900,-18480,-18480,-18231,-18231,-18461,-18461,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,20,-1748,2147481900,-18480,-18480,-18231,-18231,-18460,-18460,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,21,-1748,2147481900,-18480,-18480,-18231,-18231,-18459,-18459,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,22,-1748,2147481900,-18480,-18480,-18231,-18231,-18458,-18458,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,23,-1748,2147481900,-18480,-18480,-18231,-18231,-18457,-18457,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,24,-1748,2147481900,-18480,-18480,-18231,-18231,-18456,-18456,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,25,-1748,2147481900,-18480,-18480,-18231,-18231,-18455,-18455,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,26,-1748,2147481900,-18480,-18480,-18231,-18231,-18454,-18454,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,27,-1748,2147481900,-18480,-18480,-18231,-18231,-18453,-18453,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,28,-1748,2147481900,-18480,-18480,-18231,-18231,-18452,-18452,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,29,-1748,2147481900,-18480,-18480,-18231,-18231,-18451,-18451,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,30,-1748,2147481900,-18480,-18480,-18231,-18231,-18450,-18450,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,31,-1748,2147481900,-18480,-18480,-18231,-18231,-18449,-18449,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,32,-1748,2147481900,-18480,-18480,-18231,-18231,-18448,-18448,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,33,-1748,2147481900,-18480,-18480,-18231,-18231,-18447,-18447,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,34,-1748,2147481900,-18480,-18480,-18231,-18231,-18446,-18446,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,35,-1748,2147481900,-18480,-18480,-18231,-18231,-18445,-18445,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,36,-1748,2147481900,-18480,-18480,-18231,-18231,-18444,-18444,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,37,-1748,2147481900,-18480,-18480,-18231,-18231,-18443,-18443,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,38,-1748,2147481900,-18480,-18480,-18231,-18231,-18442,-18442,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,39,-1748,2147481900,-18480,-18480,-18231,-18231,-18441,-18441,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,40,-1748,2147481900,-18480,-18480,-18231,-18231,-18440,-18440,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,41,-1748,2147481900,-18480,-18480,-18231,-18231,-18439,-18439,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,42,-1748,2147481900,-18480,-18480,-18231,-18231,-18438,-18438,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,43,-1748,2147481900,-18480,-18480,-18231,-18231,-18437,-18437,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,44,-1748,2147481900,-18480,-18480,-18231,-18231,-18436,-18436,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,45,-1748,2147481900,-18480,-18480,-18231,-18231,-18435,-18435,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,46,-1748,2147481900,-18480,-18480,-18231,-18231,-18434,-18434,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,47,-1748,2147481900,-18480,-18480,-18231,-18231,-18433,-18433,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,48,-1748,2147481900,-18480,-18480,-18231,-18231,-18432,-18432,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,49,-1748,2147481900,-18480,-18480,-18231,-18231,-18431,-18431,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,50,-1748,2147481900,-18480,-18480,-18231,-18231,-18430,-18430,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,51,-1748,2147481900,-18480,-18480,-18231,-18231,-18429,-18429,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,52,-1748,2147481900,-18480,-18480,-18231,-18231,-18428,-18428,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,53,-1748,2147481900,-18480,-18480,-18231,-18231,-18427,-18427,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,54,-1748,2147481900,-18480,-18480,-18231,-18231,-18426,-18426,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,55,-1748,2147481900,-18480,-18480,-18231,-18231,-18425,-18425,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,56,-1748,2147481900,-18480,-18480,-18231,-18231,-18424,-18424,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,57,-1748,2147481900,-18480,-18480,-18231,-18231,-18423,-18423,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,58,-1748,2147481900,-18480,-18480,-18231,-18231,-18422,-18422,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,59,-1748,2147481900,-18480,-18480,-18231,-18231,-18421,-18421,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,60,-1748,2147481900,-18480,-18480,-18231,-18231,-18420,-18420,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,61,-1748,2147481900,-18480,-18480,-18231,-18231,-18419,-18419,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,62,-1748,2147481900,-18480,-18480,-18231,-18231,-18418,-18418,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,63,-1748,2147481900,-18480,-18480,-18231,-18231,-18417,-18417,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,192,-1748,2147481900,-18480,-18480,-18231,-18231,-18288,-18288,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,193,-1748,2147481900,-18480,-18480,-18231,-18231,-18287,-18287,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,194,-1748,2147481900,-18480,-18480,-18231,-18231,-18286,-18286,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,195,-1748,2147481900,-18480,-18480,-18231,-18231,-18285,-18285,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,196,-1748,2147481900,-18480,-18480,-18231,-18231,-18284,-18284,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,197,-1748,2147481900,-18480,-18480,-18231,-18231,-18283,-18283,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,198,-1748,2147481900,-18480,-18480,-18231,-18231,-18282,-18282,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,199,-1748,2147481900,-18480,-18480,-18231,-18231,-18281,-18281,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,200,-1748,2147481900,-18480,-18480,-18231,-18231,-18280,-18280,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,201,-1748,2147481900,-18480,-18480,-18231,-18231,-18279,-18279,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,202,-1748,2147481900,-18480,-18480,-18231,-18231,-18278,-18278,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,203,-1748,2147481900,-18480,-18480,-18231,-18231,-18277,-18277,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,204,-1748,2147481900,-18480,-18480,-18231,-18231,-18276,-18276,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,205,-1748,2147481900,-18480,-18480,-18231,-18231,-18275,-18275,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,206,-1748,2147481900,-18480,-18480,-18231,-18231,-18274,-18274,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,207,-1748,2147481900,-18480,-18480,-18231,-18231,-18273,-18273,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,208,-1748,2147481900,-18480,-18480,-18231,-18231,-18272,-18272,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,209,-1748,2147481900,-18480,-18480,-18231,-18231,-18271,-18271,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,210,-1748,2147481900,-18480,-18480,-18231,-18231,-18270,-18270,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,211,-1748,2147481900,-18480,-18480,-18231,-18231,-18269,-18269,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,212,-1748,2147481900,-18480,-18480,-18231,-18231,-18268,-18268,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,213,-1748,2147481900,-18480,-18480,-18231,-18231,-18267,-18267,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,214,-1748,2147481900,-18480,-18480,-18231,-18231,-18266,-18266,18480,249,0,0,0,-1,0
