worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,baseline_status,actual_result,exit_code,matches_expected,stdout,stderr
25,randomAccess,100,0,all_three_or_pairwise_anchor,MASKED,100,316,59,MASKED,MASKED,SDC,family_full,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site100_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site100_bit0.err
26,randomAccess,102,1,all_three_or_pairwise_anchor,MASKED,102,320,61,MASKED,SDC,SDC,source_context_type_family,,PASS,SDC,1,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site102_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site102_bit1.err
27,randomAccess,102,2,all_three_or_pairwise_anchor,MASKED,102,320,61,MASKED,SDC,SDC,source_context_type_family,,PASS,SDC,1,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site102_bit2.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site102_bit2.err
28,randomAccess,117,0,all_three_or_pairwise_anchor,DUE,117,354,76,DUE,SDC,SDC,family_full,,PASS,FAILURE,124,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site117_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site117_bit0.err
29,randomAccess,19,0,all_three_or_pairwise_anchor,SDC,19,139,95,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site19_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site19_bit0.err
30,randomAccess,16,0,all_three_or_pairwise_anchor,SDC,16,133,92,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site16_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site16_bit0.err
31,randomAccess,16,1,all_three_or_pairwise_anchor,SDC,16,133,92,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site16_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site16_bit1.err
32,randomAccess,18,7,all_three_or_pairwise_anchor,MASKED,18,137,94,MASKED,,SDC,family_full,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site18_bit7.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site18_bit7.err
33,randomAccess,18,8,all_three_or_pairwise_anchor,MASKED,18,137,94,MASKED,,SDC,family_full,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site18_bit8.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site18_bit8.err
34,randomAccess,22,0,all_three_or_pairwise_anchor,SDC,22,145,98,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site22_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site22_bit0.err
35,randomAccess,22,1,all_three_or_pairwise_anchor,SDC,22,145,98,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site22_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site22_bit1.err
36,randomAccess,20,0,all_three_or_pairwise_anchor,MASKED,20,141,96,MASKED,,SDC,family_full,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site20_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site20_bit0.err
37,randomAccess,20,1,all_three_or_pairwise_anchor,MASKED,20,141,96,MASKED,,SDC,family_full,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site20_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site20_bit1.err
38,randomAccess,71,0,all_three_or_pairwise_anchor,SDC,71,249,147,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site71_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site71_bit0.err
