site_id,opcode,type_kind,bitwidth,operand_index,function
48,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
49,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
50,icmp,int,1,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
51,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
52,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
53,mul,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
54,load,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
55,add,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
56,mul,int,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
57,sext,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
58,load,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
59,load,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
60,call,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
61,load,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
62,load,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
63,call,float,32,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
64,load,int,64,-1,_Z5colorRN4sycl3_V17nd_itemILi2EEEPhiiff
65,load,int,32,-1,_Z12computeColorffPh
66,icmp,int,1,-1,_Z12computeColorffPh
67,load,int,32,-1,_Z12computeColorffPh
68,mul,int,32,-1,_Z12computeColorffPh
69,sdiv,int,32,-1,_Z12computeColorffPh
70,load,int,32,-1,_Z12computeColorffPh
71,add,int,32,-1,_Z12computeColorffPh
72,load,int,32,-1,_Z12computeColorffPh
73,add,int,32,-1,_Z12computeColorffPh
74,load,int,32,-1,_Z12computeColorffPh
75,icmp,int,1,-1,_Z12computeColorffPh
76,load,int,32,-1,_Z12computeColorffPh
77,mul,int,32,-1,_Z12computeColorffPh
78,sdiv,int,32,-1,_Z12computeColorffPh
79,sub,int,32,-1,_Z12computeColorffPh
80,load,int,32,-1,_Z12computeColorffPh
81,add,int,32,-1,_Z12computeColorffPh
82,load,int,32,-1,_Z12computeColorffPh
83,add,int,32,-1,_Z12computeColorffPh
84,load,int,32,-1,_Z12computeColorffPh
85,icmp,int,1,-1,_Z12computeColorffPh
86,load,int,32,-1,_Z12computeColorffPh
87,mul,int,32,-1,_Z12computeColorffPh
88,sdiv,int,32,-1,_Z12computeColorffPh
89,load,int,32,-1,_Z12computeColorffPh
90,add,int,32,-1,_Z12computeColorffPh
91,load,int,32,-1,_Z12computeColorffPh
92,add,int,32,-1,_Z12computeColorffPh
93,load,int,32,-1,_Z12computeColorffPh
94,icmp,int,1,-1,_Z12computeColorffPh
95,load,int,32,-1,_Z12computeColorffPh
96,mul,int,32,-1,_Z12computeColorffPh
97,sdiv,int,32,-1,_Z12computeColorffPh
98,sub,int,32,-1,_Z12computeColorffPh
99,load,int,32,-1,_Z12computeColorffPh
100,add,int,32,-1,_Z12computeColorffPh
101,load,int,32,-1,_Z12computeColorffPh
102,add,int,32,-1,_Z12computeColorffPh
103,load,int,32,-1,_Z12computeColorffPh
104,icmp,int,1,-1,_Z12computeColorffPh
105,load,int,32,-1,_Z12computeColorffPh
106,mul,int,32,-1,_Z12computeColorffPh
107,sdiv,int,32,-1,_Z12computeColorffPh
108,load,int,32,-1,_Z12computeColorffPh
109,add,int,32,-1,_Z12computeColorffPh
110,load,int,32,-1,_Z12computeColorffPh
111,add,int,32,-1,_Z12computeColorffPh
112,load,int,32,-1,_Z12computeColorffPh
113,icmp,int,1,-1,_Z12computeColorffPh
114,load,int,32,-1,_Z12computeColorffPh
115,mul,int,32,-1,_Z12computeColorffPh
116,sdiv,int,32,-1,_Z12computeColorffPh
117,sub,int,32,-1,_Z12computeColorffPh
118,load,int,32,-1,_Z12computeColorffPh
119,add,int,32,-1,_Z12computeColorffPh
120,load,int,32,-1,_Z12computeColorffPh
121,add,int,32,-1,_Z12computeColorffPh
122,load,float,32,-1,_Z12computeColorffPh
123,load,float,32,-1,_Z12computeColorffPh
124,fmul,float,32,-1,_Z12computeColorffPh
125,load,float,32,-1,_Z12computeColorffPh
126,load,float,32,-1,_Z12computeColorffPh
127,fmul,float,32,-1,_Z12computeColorffPh
128,fadd,float,32,-1,_Z12computeColorffPh
129,call,float,32,-1,_Z12computeColorffPh
130,load,float,32,-1,_Z12computeColorffPh
131,fneg,float,32,-1,_Z12computeColorffPh
132,load,float,32,-1,_Z12computeColorffPh
133,fneg,float,32,-1,_Z12computeColorffPh
134,call,float,32,-1,_Z12computeColorffPh
135,call,float,32,-1,_Z12computeColorffPh
136,load,float,32,-1,_Z12computeColorffPh
137,fadd,float,32,-1,_Z12computeColorffPh
138,call,float,32,-1,_Z12computeColorffPh
139,fmul,float,32,-1,_Z12computeColorffPh
140,load,float,32,-1,_Z12computeColorffPh
141,fptosi,int,32,-1,_Z12computeColorffPh
142,load,int,32,-1,_Z12computeColorffPh
143,add,int,32,-1,_Z12computeColorffPh
144,srem,int,32,-1,_Z12computeColorffPh
145,load,float,32,-1,_Z12computeColorffPh
146,load,int,32,-1,_Z12computeColorffPh
147,sitofp,float,32,-1,_Z12computeColorffPh
148,fsub,float,32,-1,_Z12computeColorffPh
149,load,int,32,-1,_Z12computeColorffPh
150,icmp,int,1,-1,_Z12computeColorffPh
151,load,int,32,-1,_Z12computeColorffPh
152,sext,int,64,-1,_Z12computeColorffPh
153,load,int,32,-1,_Z12computeColorffPh
154,sext,int,64,-1,_Z12computeColorffPh
155,load,int,32,-1,_Z12computeColorffPh
156,sitofp,float,32,-1,_Z12computeColorffPh
157,call,float,32,-1,_Z12computeColorffPh
158,load,int,32,-1,_Z12computeColorffPh
159,sext,int,64,-1,_Z12computeColorffPh
