worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,baseline_status,rerun_status,rerun_result,rerun_exit_code,matches_original_nvidia_result,comparison_status,results_path,pbs_job_id,campaign_commit
36,randomAccess,20,0,all_three_or_pairwise_anchor,MASKED,20,141,96,MASKED,,SDC,family_full,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
37,randomAccess,20,1,all_three_or_pairwise_anchor,MASKED,20,141,96,MASKED,,SDC,family_full,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
38,randomAccess,71,0,all_three_or_pairwise_anchor,SDC,71,249,147,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
39,randomAccess,68,0,all_three_or_pairwise_anchor,SDC,68,243,144,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
40,randomAccess,68,1,all_three_or_pairwise_anchor,SDC,68,243,144,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
41,randomAccess,70,63,all_three_or_pairwise_anchor,SDC,70,247,146,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
42,randomAccess,73,0,all_three_or_pairwise_anchor,SDC,73,253,149,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
43,randomAccess,73,1,all_three_or_pairwise_anchor,SDC,73,253,149,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
44,randomAccess,69,0,all_three_or_pairwise_anchor,SDC,69,245,145,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
45,randomAccess,69,1,all_three_or_pairwise_anchor,SDC,69,245,145,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
46,randomAccess,74,0,all_three_or_pairwise_anchor,SDC,74,255,150,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
