priority_rank,comparison,bench,bit_index,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,nvidia_opcode,amd_opcode,intel_opcode,nvidia_site_class,amd_site_class,intel_site_class,notes
47,all_three_or_pairwise_anchor,randomAccess,1,74,255,150,SDC,,MASKED,family_full,xor,xor,xor,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
48,all_three_or_pairwise_anchor,randomAccess,0,14,129,90,SDC,,MASKED,family_full,load,load,load,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
49,nvidia_vs_intel,pathfinder,3,137,395,153,MASKED,,SDC,source_text_type_family,sub,sub,sub,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
50,nvidia_vs_intel,pathfinder,17,137,395,153,MASKED,,SDC,source_text_type_family,sub,sub,sub,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
51,nvidia_vs_intel,pathfinder,3,116,350,132,SDC,,MASKED,source_text_type_family,mul,mul,mul,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
52,nvidia_vs_intel,pathfinder,17,116,350,132,SDC,,MASKED,source_text_type_family,mul,mul,mul,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
53,nvidia_vs_intel,pathfinder,3,9,123,25,MASKED,,SDC,source_text_type_family,sub,sub,sub,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
54,nvidia_vs_intel,pathfinder,31,9,123,25,MASKED,,SDC,source_text_type_family,sub,sub,sub,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
55,nvidia_vs_intel,pathfinder,3,64,240,80,MASKED,,SDC,source_context_type_family,zext,zext,zext,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
56,nvidia_vs_intel,pathfinder,17,64,240,80,MASKED,,SDC,source_context_type_family,zext,zext,zext,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
57,nvidia_vs_intel,pathfinder,3,53,217,69,SDC,,MASKED,source_context_type_family,icmp,icmp,icmp,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
58,nvidia_vs_intel,pathfinder,17,53,217,69,SDC,,MASKED,source_context_type_family,icmp,icmp,icmp,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
59,nvidia_vs_intel,pathfinder,62,56,224,72,SDC,,MASKED,source_context_type_family,phi,phi,phi,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
60,nvidia_vs_intel,pathfinder,63,56,224,72,SDC,,MASKED,source_context_type_family,phi,phi,phi,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
61,nvidia_vs_amd,dense-embedding,9,114,362,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
62,nvidia_vs_amd,dense-embedding,16,114,362,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
63,nvidia_vs_amd,dense-embedding,9,126,390,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
64,nvidia_vs_amd,dense-embedding,16,126,390,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
65,nvidia_vs_amd,dense-embedding,9,124,385,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
66,nvidia_vs_amd,dense-embedding,63,124,385,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
67,nvidia_vs_amd,dense-embedding,23,132,404,,SDC,DUE,,pairwise_normalized_metadata,add,add,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
68,nvidia_vs_amd,dense-embedding,18,132,404,,SDC,DUE,,pairwise_normalized_metadata,add,add,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
69,nvidia_vs_amd,dense-embedding,9,122,381,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
70,nvidia_vs_amd,dense-embedding,23,122,381,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
71,nvidia_vs_amd,dense-embedding,9,117,369,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
72,nvidia_vs_amd,dense-embedding,23,117,369,,SDC,DUE,,pairwise_normalized_metadata,load,load,,result,result,,pairwise AMD/NVIDIA metadata match; Intel not required for original divergence evidence
73,intel_vs_amd,entropy,17,156,443,226,,DUE,MASKED,source_context_type_family,icmp,icmp,icmp,result,result,base,pairwise Intel/AMD divergence from three-machine alignment table; NVIDIA not required for original divergence evidence
74,intel_vs_amd,entropy,31,156,443,226,,DUE,MASKED,source_context_type_family,icmp,icmp,icmp,result,result,base,pairwise Intel/AMD divergence from three-machine alignment table; NVIDIA not required for original divergence evidence
75,intel_vs_amd,entropy,4,156,443,226,,DUE,MASKED,source_context_type_family,icmp,icmp,icmp,result,result,base,pairwise Intel/AMD divergence from three-machine alignment table; NVIDIA not required for original divergence evidence
76,intel_vs_amd,entropy,9,156,443,226,,DUE,MASKED,source_context_type_family,icmp,icmp,icmp,result,result,base,pairwise Intel/AMD divergence from three-machine alignment table; NVIDIA not required for original divergence evidence
