site_id,opcode,site_class,type_kind,bitwidth,operand_index
503,addrspacecast,pointer,pointer,32,0
504,call,int,int,64,-1
505,call,operand,int,32,0
506,call,pointer,pointer,64,1
507,trunc,int,int,32,-1
508,trunc,operand,int,64,0
509,mul,int,int,32,-1
510,mul,operand,int,32,0
511,mul,operand,int,32,1
512,addrspacecast,pointer,pointer,64,-1
513,addrspacecast,pointer,pointer,32,0
514,addrspacecast,pointer,pointer,64,-1
515,addrspacecast,pointer,pointer,32,0
516,call,int,int,64,-1
517,call,operand,int,32,0
518,call,pointer,pointer,64,1
519,trunc,int,int,32,-1
520,trunc,operand,int,64,0
521,add,int,int,32,-1
522,add,operand,int,32,0
523,add,operand,int,32,1
524,store,operand,int,32,0
525,store,pointer,pointer,64,1
526,store,operand,int,32,0
527,store,pointer,pointer,64,1
528,store,operand,int,32,0
529,store,pointer,pointer,64,1
530,load,int,int,32,-1
531,load,pointer,pointer,64,0
532,icmp,int,int,1,-1
533,icmp,operand,int,32,0
534,icmp,operand,int,32,1
535,br,operand,int,1,0
536,load,pointer,pointer,64,-1
537,load,pointer,pointer,64,0
538,load,int,int,32,-1
539,load,pointer,pointer,64,0
540,sext,int,int,64,-1
541,sext,operand,int,32,0
542,getelementptr,pointer,pointer,64,-1
543,getelementptr,pointer,pointer,64,0
544,getelementptr,operand,int,64,1
545,getelementptr,pointer,pointer,64,-1
546,getelementptr,pointer,pointer,64,0
547,getelementptr,operand,int,32,1
548,getelementptr,operand,int,32,2
549,load,int,int,32,-1
550,load,pointer,pointer,64,0
551,zext,int,int,64,-1
552,zext,operand,int,32,0
553,getelementptr,pointer,pointer,64,-1
554,getelementptr,pointer,pointer,64,0
555,getelementptr,operand,int,64,1
556,getelementptr,operand,int,64,2
557,load,int,int,32,-1
558,load,pointer,pointer,64,0
559,load,int,int,32,-1
560,load,pointer,pointer,64,0
561,add,int,int,32,-1
562,add,operand,int,32,0
563,add,operand,int,32,1
564,store,operand,int,32,0
565,store,pointer,pointer,64,1
566,load,int,int,32,-1
567,load,pointer,pointer,64,0
568,add,int,int,32,-1
569,add,operand,int,32,0
570,add,operand,int,32,1
571,store,operand,int,32,0
572,store,pointer,pointer,64,1
