site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
80,base,zext,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,67,14,1,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|zext|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|67|14|1
81,base,load,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,68,7,1,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|68|7|1
82,base,load,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,68,12,2,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|68|12|2
83,base,icmp,int,1,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,68,9,1,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|icmp|int|1|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|68|9|1
84,base,load,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,70,10,3,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|70|10|3
85,base,load,int,32,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,70,15,1,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|70|15|1
86,base,zext,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,70,12,2,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|zext|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|70|12|2
87,base,lshr,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,70,12,1,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|lshr|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|70|12|1
88,base,icmp,int,1,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,70,10,2,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|icmp|int|1|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|70|10|2
89,base,load,int,32,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,70,27,2,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|70|27|2
91,base,load,int,32,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,71,23,3,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|71|23|3
92,base,sub,int,32,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,71,29,1,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|sub|int|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|71|29|1
94,base,shl,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,71,19,1,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|shl|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|71|19|1
95,base,load,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,72,15,4,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|72|15|4
96,base,load,float,32,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,72,9,1,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|float|32|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|72|9|1
97,base,load,int,64,-1,_Z10kernel_BS3IfEvPKT_S2_Pmmm,/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu,73,23,5,_Z10kernel_BS3IfEvPKT_S2_Pmmm|base|load|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/bsearch-cuda/main.cu|73|23|5
