mode,bench,site_id,bit_index,trial,result,process_exit,timeout,benchmark_status,dump_exists,dump_compare,site_class,opcode,type_kind,bitwidth,mutated_ir_instruction,trace_dir
injected_ir,entropy,392,0,1,MASKED,0,0,PASS,1,pass,pointer,load,ptr,64,"%fi_op_p2i = ptrtoint ptr addrspace(1) %64 to i64 || %fi_op_px = xor i64 %fi_op_p2i, 1 || %fi_op_i2p = inttoptr i64 %fi_op_px to ptr addrspace(1) || %69 = getelementptr inbounds i8, ptr addrspace(1) %fi_op_i2p, i64 40",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/entropy/float/trace_site392_bit0
injected_ir,entropy,392,0,2,MASKED,0,0,PASS,1,pass,pointer,load,ptr,64,"%fi_op_p2i = ptrtoint ptr addrspace(1) %64 to i64 || %fi_op_px = xor i64 %fi_op_p2i, 1 || %fi_op_i2p = inttoptr i64 %fi_op_px to ptr addrspace(1) || %69 = getelementptr inbounds i8, ptr addrspace(1) %fi_op_i2p, i64 40",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/entropy/float/trace_site392_bit0_trial2
injected_ir,entropy,482,0,1,MASKED,0,0,PASS,1,pass,operand,sitofp,int,8,"%fi_op_xor = xor i64 %114, 1 || %119 = or i64 %fi_op_xor, %118",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/entropy/float/trace_site482_bit0
injected_ir,entropy,482,0,2,MASKED,0,0,PASS,1,pass,operand,sitofp,int,8,"%fi_op_xor = xor i64 %114, 1 || %119 = or i64 %fi_op_xor, %118",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/entropy/float/trace_site482_bit0_trial2
injected_ir,randomAccess,268,6,1,MASKED,0,0,unknown,1,pass,result,mul,int,32,"%fi_flip = xor i64 %15, 64 || %16 = insertelement <2 x i64> <i64 poison, i64 0>, i64 %fi_flip, i64 0",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/randomAccess/float/trace_site268_bit6
injected_ir,randomAccess,268,6,2,MASKED,0,0,unknown,1,pass,result,mul,int,32,"%fi_flip = xor i64 %15, 64 || %16 = insertelement <2 x i64> <i64 poison, i64 0>, i64 %fi_flip, i64 0",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/randomAccess/float/trace_site268_bit6_trial2
plugin,colorwheel,103,0,1,MASKED,0,0,PASS,1,pass,result,load,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/colorwheel/float/trace_site103_bit0
plugin,colorwheel,103,0,2,MASKED,0,0,PASS,1,pass,result,load,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/colorwheel/float/trace_site103_bit0_trial2
plugin,colorwheel,439,2,1,MASKED,0,0,PASS,1,pass,operand,sitofp,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/colorwheel/float/trace_site439_bit2
plugin,colorwheel,439,2,2,MASKED,0,0,PASS,1,pass,operand,sitofp,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/colorwheel/float/trace_site439_bit2_trial2
plugin,colorwheel,481,3,1,MASKED,0,0,PASS,1,pass,result,load,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/colorwheel/float/trace_site481_bit3
plugin,colorwheel,481,3,2,MASKED,0,0,PASS,1,pass,result,load,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/colorwheel/float/trace_site481_bit3_trial2
plugin,dense-embedding,362,0,1,MASKED,0,0,PASS,1,pass,result,load,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/dense-embedding/float/trace_site362_bit0
plugin,dense-embedding,362,0,2,MASKED,0,0,PASS,1,pass,result,load,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/dense-embedding/float/trace_site362_bit0_trial2
plugin,dense-embedding,362,24,1,SDC,137,1,unknown,1,fail,result,load,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/dense-embedding/float/trace_site362_bit24
plugin,dense-embedding,362,24,2,SDC,137,1,unknown,1,fail,result,load,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/dense-embedding/float/trace_site362_bit24_trial2
plugin,entropy,392,0,1,MASKED,0,0,PASS,1,pass,pointer,load,ptr,64,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/entropy/float/trace_site392_bit0
plugin,entropy,392,0,2,MASKED,0,0,PASS,1,pass,pointer,load,ptr,64,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/entropy/float/trace_site392_bit0_trial2
plugin,entropy,482,0,1,MASKED,0,0,PASS,1,pass,operand,sitofp,int,8,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/entropy/float/trace_site482_bit0
plugin,entropy,482,0,2,MASKED,0,0,PASS,1,pass,operand,sitofp,int,8,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/entropy/float/trace_site482_bit0_trial2
plugin,randomAccess,268,6,1,MASKED,0,0,unknown,1,pass,result,mul,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/randomAccess/float/trace_site268_bit6
plugin,randomAccess,268,6,2,MASKED,0,0,unknown,1,pass,result,mul,int,32,,/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/plugin/randomAccess/float/trace_site268_bit6_trial2
