worklist_id,bench,site_id,bit_index,comparison,expected_original_result,match_tier,baseline_status,runner_result,runner_exit_code,runner_stdout,runner_stderr,runner_dump,notes
55,pathfinder,80,3,nvidia_vs_intel,SDC,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site80_bit3.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site80_bit3.err,,
56,pathfinder,80,17,nvidia_vs_intel,SDC,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site80_bit17.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site80_bit17.err,,
57,pathfinder,69,3,nvidia_vs_intel,MASKED,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site69_bit3.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site69_bit3.err,,
58,pathfinder,69,17,nvidia_vs_intel,MASKED,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site69_bit17.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site69_bit17.err,,
59,pathfinder,72,62,nvidia_vs_intel,MASKED,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site72_bit62.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site72_bit62.err,,
60,pathfinder,72,63,nvidia_vs_intel,MASKED,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site72_bit63.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site72_bit63.err,,
61,entropy,226,17,intel_vs_amd,MASKED,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/entropy/site226_bit17.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/entropy/site226_bit17.err,,
62,entropy,226,31,intel_vs_amd,MASKED,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/entropy/site226_bit31.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/entropy/site226_bit31.err,,
63,entropy,226,4,intel_vs_amd,MASKED,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/entropy/site226_bit4.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/entropy/site226_bit4.err,,
64,entropy,226,9,intel_vs_amd,MASKED,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/entropy/site226_bit9.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/entropy/site226_bit9.err,,
