worklist_id	bench	site_id	bit_index	comparison	expected_original_result	nvidia_site_id	amd_site_id	intel_site_id	nvidia_result	amd_result	intel_result	match_tier	notes
23	colorwheel	147	7	all_three_anchor	SDC	146	295	147	SDC	MASKED	SDC	family_full	
24	colorwheel	210	1	all_three_anchor	SDC	7	115	210	SDC	MASKED	SDC	family_full	
25	randomAccess	59	0	all_three_or_pairwise_anchor	SDC	100	316	59	MASKED	MASKED	SDC	family_full	
26	randomAccess	61	1	all_three_or_pairwise_anchor	SDC	102	320	61	MASKED	SDC	SDC	source_context_type_family	
27	randomAccess	61	2	all_three_or_pairwise_anchor	SDC	102	320	61	MASKED	SDC	SDC	source_context_type_family	
28	randomAccess	76	0	all_three_or_pairwise_anchor	SDC	117	354	76	DUE	SDC	SDC	family_full	
29	randomAccess	95	0	all_three_or_pairwise_anchor	MASKED	19	139	95	SDC		MASKED	family_full	
30	randomAccess	92	0	all_three_or_pairwise_anchor	MASKED	16	133	92	SDC		MASKED	family_full	
31	randomAccess	92	1	all_three_or_pairwise_anchor	MASKED	16	133	92	SDC		MASKED	family_full	
32	randomAccess	94	7	all_three_or_pairwise_anchor	SDC	18	137	94	MASKED		SDC	family_full	
33	randomAccess	94	8	all_three_or_pairwise_anchor	SDC	18	137	94	MASKED		SDC	family_full	
34	randomAccess	98	0	all_three_or_pairwise_anchor	MASKED	22	145	98	SDC		MASKED	family_full	
35	randomAccess	98	1	all_three_or_pairwise_anchor	MASKED	22	145	98	SDC		MASKED	family_full	
36	randomAccess	96	0	all_three_or_pairwise_anchor	SDC	20	141	96	MASKED		SDC	family_full	
37	randomAccess	96	1	all_three_or_pairwise_anchor	SDC	20	141	96	MASKED		SDC	family_full	
38	randomAccess	147	0	all_three_or_pairwise_anchor	MASKED	71	249	147	SDC		MASKED	family_full	
39	randomAccess	144	0	all_three_or_pairwise_anchor	MASKED	68	243	144	SDC		MASKED	family_full	
40	randomAccess	144	1	all_three_or_pairwise_anchor	MASKED	68	243	144	SDC		MASKED	family_full	
41	randomAccess	146	63	all_three_or_pairwise_anchor	MASKED	70	247	146	SDC		MASKED	family_full	
42	randomAccess	149	0	all_three_or_pairwise_anchor	MASKED	73	253	149	SDC		MASKED	family_full	
43	randomAccess	149	1	all_three_or_pairwise_anchor	MASKED	73	253	149	SDC		MASKED	family_full	
44	randomAccess	145	0	all_three_or_pairwise_anchor	MASKED	69	245	145	SDC		MASKED	family_full	
45	randomAccess	145	1	all_three_or_pairwise_anchor	MASKED	69	245	145	SDC		MASKED	family_full	
46	randomAccess	150	0	all_three_or_pairwise_anchor	MASKED	74	255	150	SDC		MASKED	family_full	
47	randomAccess	150	1	all_three_or_pairwise_anchor	MASKED	74	255	150	SDC		MASKED	family_full	
48	randomAccess	90	0	all_three_or_pairwise_anchor	MASKED	14	129	90	SDC		MASKED	family_full	
49	pathfinder	153	3	nvidia_vs_intel	SDC	137	395	153	MASKED		SDC	source_text_type_family	
50	pathfinder	153	17	nvidia_vs_intel	SDC	137	395	153	MASKED		SDC	source_text_type_family	
51	pathfinder	132	3	nvidia_vs_intel	MASKED	116	350	132	SDC		MASKED	source_text_type_family	
52	pathfinder	132	17	nvidia_vs_intel	MASKED	116	350	132	SDC		MASKED	source_text_type_family	
53	pathfinder	25	3	nvidia_vs_intel	SDC	9	123	25	MASKED		SDC	source_text_type_family	
54	pathfinder	25	31	nvidia_vs_intel	SDC	9	123	25	MASKED		SDC	source_text_type_family	
55	pathfinder	80	3	nvidia_vs_intel	SDC	64	240	80	MASKED		SDC	source_context_type_family	
56	pathfinder	80	17	nvidia_vs_intel	SDC	64	240	80	MASKED		SDC	source_context_type_family	
57	pathfinder	69	3	nvidia_vs_intel	MASKED	53	217	69	SDC		MASKED	source_context_type_family	
58	pathfinder	69	17	nvidia_vs_intel	MASKED	53	217	69	SDC		MASKED	source_context_type_family	
59	pathfinder	72	62	nvidia_vs_intel	MASKED	56	224	72	SDC		MASKED	source_context_type_family	
60	pathfinder	72	63	nvidia_vs_intel	MASKED	56	224	72	SDC		MASKED	source_context_type_family	
61	entropy	226	17	intel_vs_amd	MASKED	156	443	226		DUE	MASKED	source_context_type_family	
62	entropy	226	31	intel_vs_amd	MASKED	156	443	226		DUE	MASKED	source_context_type_family	
63	entropy	226	4	intel_vs_amd	MASKED	156	443	226		DUE	MASKED	source_context_type_family	
64	entropy	226	9	intel_vs_amd	MASKED	156	443	226		DUE	MASKED	source_context_type_family	
