site_id,opcode,site_class,type_kind,bitwidth,operand_index
1962,load,pointer,pointer,64,0
1963,zext,int,int,64,-1
1964,zext,operand,int,8,0
1965,getelementptr,pointer,pointer,64,-1
1966,getelementptr,pointer,pointer,64,0
1967,getelementptr,operand,int,64,1
1968,load,int,int,8,-1
1969,load,pointer,pointer,64,0
1970,zext,int,int,64,-1
1971,zext,operand,int,8,0
1972,shl,int,int,64,-1
1973,shl,operand,int,64,0
1974,shl,operand,int,64,1
1975,or,int,int,64,-1
1976,or,operand,int,64,0
1977,or,operand,int,64,1
1978,getelementptr,pointer,pointer,64,-1
1979,getelementptr,pointer,pointer,64,0
1980,getelementptr,operand,int,64,1
1981,load,int,int,8,-1
1982,load,pointer,pointer,64,0
1983,zext,int,int,64,-1
1984,zext,operand,int,8,0
1985,shl,int,int,64,-1
1986,shl,operand,int,64,0
1987,shl,operand,int,64,1
1988,or,int,int,64,-1
1989,or,operand,int,64,0
1990,or,operand,int,64,1
1991,getelementptr,pointer,pointer,64,-1
1992,getelementptr,pointer,pointer,64,0
1993,getelementptr,operand,int,64,1
1994,load,int,int,8,-1
1995,load,pointer,pointer,64,0
1996,zext,int,int,64,-1
1997,zext,operand,int,8,0
1998,shl,int,int,64,-1
1999,shl,operand,int,64,0
2000,shl,operand,int,64,1
2001,or,int,int,64,-1
2002,or,operand,int,64,0
2003,or,operand,int,64,1
2004,getelementptr,pointer,pointer,64,-1
2005,getelementptr,pointer,pointer,64,0
2006,getelementptr,operand,int,64,1
2007,load,int,int,8,-1
2008,load,pointer,pointer,64,0
2009,zext,int,int,64,-1
2010,zext,operand,int,8,0
2011,shl,int,int,64,-1
2012,shl,operand,int,64,0
2013,shl,operand,int,64,1
2014,or,int,int,64,-1
2015,or,operand,int,64,0
2016,or,operand,int,64,1
2017,getelementptr,pointer,pointer,64,-1
2018,getelementptr,pointer,pointer,64,0
2019,getelementptr,operand,int,64,1
2020,load,int,int,8,-1
2021,load,pointer,pointer,64,0
2022,zext,int,int,64,-1
2023,zext,operand,int,8,0
2024,shl,int,int,64,-1
2025,shl,operand,int,64,0
2026,shl,operand,int,64,1
2027,or,int,int,64,-1
2028,or,operand,int,64,0
2029,or,operand,int,64,1
2030,getelementptr,pointer,pointer,64,-1
2031,getelementptr,pointer,pointer,64,0
2032,getelementptr,operand,int,64,1
2033,load,int,int,8,-1
2034,load,pointer,pointer,64,0
2035,zext,int,int,64,-1
2036,zext,operand,int,8,0
2037,shl,int,int,64,-1
2038,shl,operand,int,64,0
2039,shl,operand,int,64,1
2040,or,int,int,64,-1
2041,or,operand,int,64,0
2042,or,operand,int,64,1
2043,getelementptr,pointer,pointer,64,-1
2044,getelementptr,pointer,pointer,64,0
2045,getelementptr,operand,int,64,1
2046,load,int,int,8,-1
2047,load,pointer,pointer,64,0
2048,zext,int,int,64,-1
2049,zext,operand,int,8,0
2050,shl,int,int,64,-1
2051,shl,operand,int,64,0
2052,shl,operand,int,64,1
2053,or,int,int,64,-1
2054,or,operand,int,64,0
2055,or,operand,int,64,1
2056,add,int,int,32,-1
2057,add,operand,int,32,0
2058,add,operand,int,32,1
2059,getelementptr,pointer,pointer,64,-1
2060,getelementptr,pointer,pointer,64,0
2061,getelementptr,operand,int,64,1
2062,phi,int,int,32,-1
2063,phi,operand,int,32,0
2064,phi,operand,int,32,1
2065,phi,int,int,64,-1
2066,phi,operand,int,64,0
2067,phi,operand,int,64,1
2068,zext,int,int,64,-1
2069,zext,operand,int,32,0
2070,getelementptr,pointer,pointer,64,-1
2071,getelementptr,pointer,pointer,64,0
2072,getelementptr,operand,int,64,1
2073,load,int,int,8,-1
2074,load,pointer,pointer,64,0
2075,zext,int,int,64,-1
2076,zext,operand,int,8,0
2077,shl,int,int,32,-1
2078,shl,operand,int,32,0
2079,shl,operand,int,32,1
2080,zext,int,int,64,-1
2081,zext,operand,int,32,0
2082,shl,int,int,64,-1
2083,shl,operand,int,64,0
2084,shl,operand,int,64,1
2085,or,int,int,64,-1
2086,or,operand,int,64,0
2087,or,operand,int,64,1
2088,add,int,int,32,-1
2089,add,operand,int,32,0
2090,add,operand,int,32,1
2091,icmp,int,int,1,-1
2092,icmp,operand,int,32,0
2093,icmp,operand,int,32,1
2094,br,operand,int,1,0
2095,phi,pointer,pointer,64,-1
2096,phi,pointer,pointer,64,0
2097,phi,pointer,pointer,64,1
2098,phi,pointer,pointer,64,2
2099,phi,int,int,32,-1
2100,phi,operand,int,32,0
2101,phi,operand,int,32,1
2102,phi,operand,int,32,2
2103,phi,int,int,64,-1
2104,phi,operand,int,64,0
2105,phi,operand,int,64,1
