bench,category,source_path,copied_path,rows,header,sha256,regenerated
dense-embedding,normalized_sycl_results,HeCBench/results/llvm17_inject/dense-embedding-sycl/normalized_results_20260330d.csv,divergence_cases/original_campaign/intel/dense-embedding/normalized_results_20260330d.csv,43469,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",74a3fcf0fb30870b81e9ff21d2efd0b1b4b6a44c5c49075f45df63c4713893f0,false
dense-embedding,site_inventory,HeCBench/results/llvm17_inject/dense-embedding-sycl/sites.csv,divergence_cases/original_campaign/intel/dense-embedding/sites.csv,206,"site_id,opcode,type_kind,bitwidth,operand_index,function",63c06c87d3ad4aa71311e55b21288b64e212c542f3030c035ac1e894545b906a,false
dense-embedding,site_inventory,HeCBench/results/llvm17_inject/dense-embedding-sycl/sites_metadata.csv,divergence_cases/original_campaign/intel/dense-embedding/sites_metadata.csv,206,"site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key",543aa777d479c64d9c83dde215e91cb3fb2cabfe50a0bc62bcc323714965ad50,false
dense-embedding,benchmark_local_summary,HeCBench/results/llvm17_inject/dense-embedding/float/summary.csv,divergence_cases/original_campaign/intel/dense-embedding/summary_float.csv,4966,"site_id,bit_index,result,taxonomy,exit_code,failure_kind,failure_signal,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes",2109f17f97bf4ba81fab6dc7a09e5ed11371e2f2ff47b41be08389816002093a,false
dense-embedding,benchmark_local_summary,HeCBench/results/llvm17_inject/dense-embedding/operand/summary.csv,divergence_cases/original_campaign/intel/dense-embedding/summary_operand.csv,4870,"site_id,bit_index,result,taxonomy,exit_code,failure_kind,failure_signal,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes",395bd63aceaef1f8bb2f9a76630007dc8bf857bd7d9416f52b9195067ed23470,false
dense-embedding,benchmark_local_summary,HeCBench/results/llvm17_inject/dense-embedding/pointer/summary.csv,divergence_cases/original_campaign/intel/dense-embedding/summary_pointer.csv,10304,"site_id,bit_index,result,taxonomy,exit_code,failure_kind,failure_signal,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes",7a9be972cb1531c00204f1bb731253a65262396e3c96a37b33b99977a6e4ebfe,false
dense-embedding,worklist,HeCBench/results/llvm17_inject/dense-embedding-sycl/worklist.csv,divergence_cases/original_campaign/intel/dense-embedding/worklist.csv,43469,"index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index",1d1d30bd89af2c6ab837791c4cb3a84f451ba5328108d44b10b58958a66ab378,false
dense-embedding,worklist,HeCBench/results/llvm17_inject/dense-embedding-sycl/worklist_missing.csv,divergence_cases/original_campaign/intel/dense-embedding/worklist_missing.csv,22,"index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index",5b9bdb4eb19acf8cf43b93e136757e7ce8d093f4fcf7bf070c0be579dccfe820,false
entropy,normalized_sycl_results,HeCBench/results/llvm17_inject/entropy-sycl/normalized_results.csv,divergence_cases/original_campaign/intel/entropy/normalized_results.csv,56109,"site_id,bit_index,raw_result,normalized_result,has_out,has_err",ed5afce1c18b38f5c6a7de014864100958e204661d95e4f7c892f1422b6434bf,false
entropy,normalized_sycl_results,HeCBench/results/llvm17_inject/entropy-sycl/normalized_results_20260315a.csv,divergence_cases/original_campaign/intel/entropy/normalized_results_20260315a.csv,56109,"site_id,bit_index,raw_result,normalized_result,has_out,has_err",ed5afce1c18b38f5c6a7de014864100958e204661d95e4f7c892f1422b6434bf,false
entropy,normalized_sycl_results,HeCBench/results/llvm17_inject/entropy-sycl/normalized_results_20260315b.csv,divergence_cases/original_campaign/intel/entropy/normalized_results_20260315b.csv,56109,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",4473e2b83e618cc964825dada05536b424fe8255ef0c71e30cfd317bc7530f71,false
entropy,normalized_sycl_results,HeCBench/results/llvm17_inject/entropy-sycl/normalized_results_20260315c.csv,divergence_cases/original_campaign/intel/entropy/normalized_results_20260315c.csv,56109,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",4473e2b83e618cc964825dada05536b424fe8255ef0c71e30cfd317bc7530f71,false
entropy,normalized_sycl_results,HeCBench/results/llvm17_inject/entropy-sycl/normalized_results_20260316a.csv,divergence_cases/original_campaign/intel/entropy/normalized_results_20260316a.csv,56109,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",3d23d90acb77f7a5fe397bfa2dad9c2e212485abcbb9b092c4f55d52058e721b,false
